Dog_ID,Dog_Age_Years,Match_Outcome,Behavior_Calm,Behavior_Energetic,Behavior_Independent,Size_Medium,Size_Small,Health_Condition_Healthy,Health_Condition_Special Needs,Housing_Type_Condo,Housing_Type_House,Lifestyle_Sedentary,Family_Composition_With Kids,Pet_Experience_Yes
1,2.0,1,False,True,False,False,False,True,False,False,True,False,False,True
2,5.0,0,True,False,False,True,False,False,True,False,False,True,True,False
5,5.0,0,False,False,False,False,False,True,False,False,True,True,False,True
7,3.0,1,True,False,False,True,False,True,False,True,False,True,False,True
8,7.0,0,False,False,True,False,False,False,True,False,True,True,True,False
10,1.5,1,False,True,False,False,True,True,False,False,True,False,False,True
11,8.0,0,True,False,False,False,False,False,False,True,False,True,False,False
15,2.0,0,False,False,False,False,False,True,False,False,True,False,False,False
1000,1.5,1,False,False,True,False,False,True,False,True,False,True,False,False
1001,8.0,0,True,False,False,False,False,False,False,False,False,False,True,False
1002,8.0,1,False,False,False,True,False,True,False,False,False,True,True,True
1003,5.0,1,False,False,False,True,False,True,False,False,True,True,False,True
1004,3.0,0,False,True,False,True,False,True,False,True,False,False,True,True
1005,8.0,0,True,False,False,False,True,True,False,False,False,False,False,False
1006,5.0,1,False,False,False,True,False,False,False,True,False,True,True,False
1007,8.0,1,False,False,False,False,False,False,False,False,False,False,False,True
1008,7.0,1,False,False,True,False,False,False,True,True,False,False,False,True
1009,3.0,1,True,False,False,False,True,False,False,False,True,True,False,False
1010,1.5,0,False,False,True,False,False,False,True,False,False,True,True,False
1011,7.0,1,False,True,False,False,True,False,False,False,False,False,False,False
1012,1.5,0,False,True,False,False,False,False,False,False,True,True,True,False
1013,2.0,0,False,True,False,False,True,False,False,False,False,True,True,False
1014,2.0,1,False,False,False,False,False,False,False,False,True,True,True,True
1015,5.0,1,False,False,True,False,True,True,False,False,False,False,False,False
1016,8.0,1,False,True,False,False,False,False,True,False,False,False,True,False
1017,5.0,0,False,True,False,False,True,False,False,False,True,True,True,True
1018,2.0,1,False,False,True,False,False,False,False,False,False,True,False,True
1019,2.0,0,False,True,False,True,False,False,True,False,False,True,False,False
1020,2.0,0,True,False,False,False,False,False,True,False,True,True,False,False
1021,2.0,0,False,False,True,True,False,False,True,False,False,False,True,True
1022,5.0,0,False,False,False,False,False,False,False,False,True,False,False,True
1023,5.0,1,True,False,False,True,False,False,True,True,False,False,False,False
1024,7.0,0,False,True,False,True,False,False,True,True,False,False,False,False
1025,5.0,1,False,False,False,False,False,True,False,False,False,False,False,False
1026,1.5,0,False,False,True,True,False,False,True,True,False,True,True,True
1027,1.5,1,True,False,False,True,False,False,False,False,False,False,False,True
1028,7.0,1,True,False,False,False,True,True,False,False,False,True,True,False
1029,2.0,1,False,True,False,True,False,False,False,True,False,False,False,False
1030,5.0,1,False,False,True,True,False,True,False,False,True,True,True,True
1031,7.0,1,False,True,False,False,True,True,False,True,False,False,False,True
1032,1.5,1,False,False,True,False,False,True,False,False,False,False,True,False
1033,5.0,1,False,False,True,True,False,False,True,False,True,True,False,False
1034,2.0,0,False,True,False,False,True,False,True,True,False,True,False,True
1035,2.0,1,False,False,False,False,True,False,False,True,False,False,False,True
1036,3.0,1,False,True,False,False,True,True,False,True,False,False,True,False
1037,1.5,1,False,False,True,False,True,False,False,False,True,True,False,True
1038,8.0,0,False,True,False,True,False,False,True,True,False,False,False,False
1039,8.0,0,False,True,False,True,False,False,True,False,True,False,False,False
1040,3.0,0,False,True,False,False,True,True,False,False,False,False,False,True
1041,7.0,0,True,False,False,True,False,False,True,False,True,False,False,False
1042,5.0,1,True,False,False,False,True,True,False,True,False,False,True,False
1043,5.0,1,True,False,False,True,False,True,False,False,False,True,False,True
1044,5.0,0,False,True,False,True,False,False,True,True,False,True,True,True
1045,1.5,1,False,False,False,False,True,True,False,False,True,True,True,True
1046,3.0,0,False,True,False,False,False,False,False,False,True,True,False,False
1047,3.0,1,False,False,False,False,True,False,False,False,True,False,False,True
1048,5.0,0,True,False,False,False,False,False,True,True,False,False,True,False
1049,8.0,0,True,False,False,True,False,False,True,False,True,True,True,False
1050,8.0,1,False,False,True,False,False,False,True,True,False,True,True,True
1051,5.0,0,False,False,True,False,False,True,False,False,False,True,False,False
1052,2.0,1,False,True,False,True,False,False,False,False,False,True,True,False
1053,3.0,0,False,False,False,False,True,False,False,False,False,False,False,True
1054,5.0,1,False,True,False,False,True,False,True,True,False,True,True,True
1055,8.0,1,False,False,False,True,False,False,True,False,True,True,False,False
1056,3.0,1,False,True,False,False,False,True,False,False,True,False,True,True
1057,3.0,0,False,False,True,False,False,False,True,False,True,False,True,False
1058,8.0,1,False,False,True,True,False,False,True,False,False,True,False,False
1059,7.0,1,False,False,False,True,False,True,False,True,False,False,False,True
1060,5.0,1,False,False,False,False,True,True,False,True,False,False,False,False
1061,5.0,0,True,False,False,False,True,False,True,True,False,True,True,True
1062,8.0,1,True,False,False,True,False,False,True,True,False,False,False,False
1063,1.5,0,False,True,False,False,True,False,True,False,True,True,False,False
1064,3.0,1,False,False,True,False,False,False,False,False,False,False,False,False
1065,7.0,0,False,True,False,False,True,True,False,True,False,True,False,False
1066,5.0,1,False,False,False,True,False,True,False,False,True,True,True,False
1067,3.0,0,False,False,True,True,False,False,True,False,False,True,True,True
