Dog_ID,Breed,Dog_Age,Behavior,Size,Health_Condition,Housing_Type,Lifestyle,Family_Composition,Pet_Experience,Match_Category
1,Aspin,2 years,Energetic,Large,Healthy,House,Active,No Kids,Yes,Good Match ✅
2,Aspin,5 years,Calm,Medium,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
5,Aspin,5 years,Aggressive,Large,Healthy,House,Sedentary,No Kids,Yes,Bad Match ❌
7,Aspin,3 years,Calm,Medium,Healthy,Condo,Sedentary,No Kids,Yes,Good Match ✅
8,Aspin,7 years,Independent,Large,Special Needs,House,Sedentary,With Kids,No,Bad Match ❌
10,Aspin,1.5 years,Energetic,Small,Healthy,House,Active,No Kids,Yes,Good Match ✅
11,Aspin,8 years,Calm,Large,Chronic Illness,Condo,Sedentary,No Kids,No,Bad Match ❌
15,Aspin,2 years,Aggressive,Large,Healthy,House,Active,No Kids,No,Bad Match ❌
1000,Aspin,1.5 years,Independent,Large,Healthy,Condo,Sedentary,No Kids,No,Good Match ✅
1001,Aspin,8 years,Calm,Large,Chronic Illness,Apartment,Active,With Kids,No,Bad Match ❌
1002,Aspin,8 years,Aggressive,Medium,Healthy,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1003,Aspin,5 years,Aggressive,Medium,Healthy,House,Sedentary,No Kids,Yes,Good Match ✅
1004,Aspin,3 years,Energetic,Medium,Healthy,Condo,Active,With Kids,Yes,Bad Match ❌
1005,Aspin,8 years,Calm,Small,Healthy,Apartment,Active,No Kids,No,Bad Match ❌
1006,Aspin,5 years,Aggressive,Medium,Chronic Illness,Condo,Sedentary,With Kids,No,Good Match ✅
1007,Aspin,8 years,Aggressive,Large,Chronic Illness,Apartment,Active,No Kids,Yes,Good Match ✅
1008,Aspin,7 years,Independent,Large,Special Needs,Condo,Active,No Kids,Yes,Good Match ✅
1009,Aspin,3 years,Calm,Small,Chronic Illness,House,Sedentary,No Kids,No,Good Match ✅
1010,Aspin,1.5 years,Independent,Large,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
1011,Aspin,7 years,Energetic,Small,Chronic Illness,Apartment,Active,No Kids,No,Good Match ✅
1012,Aspin,1.5 years,Energetic,Large,Chronic Illness,House,Sedentary,With Kids,No,Bad Match ❌
1013,Aspin,2 years,Energetic,Small,Chronic Illness,Apartment,Sedentary,With Kids,No,Bad Match ❌
1014,Aspin,2 years,Aggressive,Large,Chronic Illness,House,Sedentary,With Kids,Yes,Good Match ✅
1015,Aspin,5 years,Independent,Small,Healthy,Apartment,Active,No Kids,No,Good Match ✅
1016,Aspin,8 years,Energetic,Large,Special Needs,Apartment,Active,With Kids,No,Good Match ✅
1017,Aspin,5 years,Energetic,Small,Chronic Illness,House,Sedentary,With Kids,Yes,Bad Match ❌
1018,Aspin,2 years,Independent,Large,Chronic Illness,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1019,Aspin,2 years,Energetic,Medium,Special Needs,Apartment,Sedentary,No Kids,No,Bad Match ❌
1020,Aspin,2 years,Calm,Large,Special Needs,House,Sedentary,No Kids,No,Bad Match ❌
1021,Aspin,2 years,Independent,Medium,Special Needs,Apartment,Active,With Kids,Yes,Bad Match ❌
1022,Aspin,5 years,Aggressive,Large,Chronic Illness,House,Active,No Kids,Yes,Bad Match ❌
1023,Aspin,5 years,Calm,Medium,Special Needs,Condo,Active,No Kids,No,Good Match ✅
1024,Aspin,7 years,Energetic,Medium,Special Needs,Condo,Active,No Kids,No,Bad Match ❌
1025,Aspin,5 years,Aggressive,Large,Healthy,Apartment,Active,No Kids,No,Good Match ✅
1026,Aspin,1.5 years,Independent,Medium,Special Needs,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1027,Aspin,1.5 years,Calm,Medium,Chronic Illness,Apartment,Active,No Kids,Yes,Good Match ✅
1028,Aspin,7 years,Calm,Small,Healthy,Apartment,Sedentary,With Kids,No,Good Match ✅
1029,Aspin,2 years,Energetic,Medium,Chronic Illness,Condo,Active,No Kids,No,Good Match ✅
1030,Aspin,5 years,Independent,Medium,Healthy,House,Sedentary,With Kids,Yes,Good Match ✅
1031,Aspin,7 years,Energetic,Small,Healthy,Condo,Active,No Kids,Yes,Good Match ✅
1032,Aspin,1.5 years,Independent,Large,Healthy,Apartment,Active,With Kids,No,Good Match ✅
1033,Aspin,5 years,Independent,Medium,Special Needs,House,Sedentary,No Kids,No,Good Match ✅
1034,Aspin,2 years,Energetic,Small,Special Needs,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1035,Aspin,2 years,Aggressive,Small,Chronic Illness,Condo,Active,No Kids,Yes,Good Match ✅
1036,Aspin,3 years,Energetic,Small,Healthy,Condo,Active,With Kids,No,Good Match ✅
1037,Aspin,1.5 years,Independent,Small,Chronic Illness,House,Sedentary,No Kids,Yes,Good Match ✅
1038,Aspin,8 years,Energetic,Medium,Special Needs,Condo,Active,No Kids,No,Bad Match ❌
1039,Aspin,8 years,Energetic,Medium,Special Needs,House,Active,No Kids,No,Bad Match ❌
1040,Aspin,3 years,Energetic,Small,Healthy,Apartment,Active,No Kids,Yes,Bad Match ❌
1041,Aspin,7 years,Calm,Medium,Special Needs,House,Active,No Kids,No,Bad Match ❌
1042,Aspin,5 years,Calm,Small,Healthy,Condo,Active,With Kids,No,Good Match ✅
1043,Aspin,5 years,Calm,Medium,Healthy,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1044,Aspin,5 years,Energetic,Medium,Special Needs,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1045,Aspin,1.5 years,Aggressive,Small,Healthy,House,Sedentary,With Kids,Yes,Good Match ✅
1046,Aspin,3 years,Energetic,Large,Chronic Illness,House,Sedentary,No Kids,No,Bad Match ❌
1047,Aspin,3 years,Aggressive,Small,Chronic Illness,House,Active,No Kids,Yes,Good Match ✅
1048,Aspin,5 years,Calm,Large,Special Needs,Condo,Active,With Kids,No,Bad Match ❌
1049,Aspin,8 years,Calm,Medium,Special Needs,House,Sedentary,With Kids,No,Bad Match ❌
1050,Aspin,8 years,Independent,Large,Special Needs,Condo,Sedentary,With Kids,Yes,Good Match ✅
1051,Aspin,5 years,Independent,Large,Healthy,Apartment,Sedentary,No Kids,No,Bad Match ❌
1052,Aspin,2 years,Energetic,Medium,Chronic Illness,Apartment,Sedentary,With Kids,No,Good Match ✅
1053,Aspin,3 years,Aggressive,Small,Chronic Illness,Apartment,Active,No Kids,Yes,Bad Match ❌
1054,Aspin,5 years,Energetic,Small,Special Needs,Condo,Sedentary,With Kids,Yes,Good Match ✅
1055,Aspin,8 years,Aggressive,Medium,Special Needs,House,Sedentary,No Kids,No,Good Match ✅
1056,Aspin,3 years,Energetic,Large,Healthy,House,Active,With Kids,Yes,Good Match ✅
1057,Aspin,3 years,Independent,Large,Special Needs,House,Active,With Kids,No,Bad Match ❌
1058,Aspin,8 years,Independent,Medium,Special Needs,Apartment,Sedentary,No Kids,No,Good Match ✅
1059,Aspin,7 years,Aggressive,Medium,Healthy,Condo,Active,No Kids,Yes,Good Match ✅
1060,Aspin,5 years,Aggressive,Small,Healthy,Condo,Active,No Kids,No,Good Match ✅
1061,Aspin,5 years,Calm,Small,Special Needs,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1062,Aspin,8 years,Calm,Medium,Special Needs,Condo,Active,No Kids,No,Good Match ✅
1063,Aspin,1.5 years,Energetic,Small,Special Needs,House,Sedentary,No Kids,No,Bad Match ❌
1064,Aspin,3 years,Independent,Large,Chronic Illness,Apartment,Active,No Kids,No,Good Match ✅
1065,Aspin,7 years,Energetic,Small,Healthy,Condo,Sedentary,No Kids,No,Bad Match ❌
1066,Aspin,5 years,Aggressive,Medium,Healthy,House,Sedentary,With Kids,No,Good Match ✅
1067,Aspin,3 years,Independent,Medium,Special Needs,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1068,Aspin,1.5 years,Energetic,Small,Chronic Illness,Condo,Active,With Kids,No,Bad Match ❌
1069,Aspin,3 years,Aggressive,Medium,Special Needs,Apartment,Active,No Kids,No,Good Match ✅
1070,Aspin,3 years,Aggressive,Medium,Chronic Illness,House,Sedentary,No Kids,Yes,Good Match ✅
